Bacteroides,Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed
1619,S12-764-2,S12,764,2,S12_764
2866,S3-764-2,S3,764,2,S3_764
4054,S6-764-2,S6,764,2,S6_764
2376,S15-764-2,S15,764,2,S15_764
3597,S9-764-1,S9,764,1,S9_764
2688,S2-764-1,S2,764,1,S2_764
5583,S18-764-1,S18,764,1,S18_764
1842,S19-764-2,S19,764,2,S19_764
5752,S12-764-1,S12,764,1,S12_764
3403,S22-764-1,S22,764,1,S22_764
1032,S16-764-2,S16,764,2,S16_764
5940,S24-764-1,S24,764,1,S24_764
832,S14-764-1,S14,764,1,S14_764
2756,S7-764-1,S7,764,1,S7_764
3351,S4-764-1,S4,764,1,S4_764
3530,S9-764-2,S9,764,2,S9_764
3129,S3-764-1,S3,764,1,S3_764
2950,S15-764-1,S15,764,1,S15_764
4432,S5-764-2,S5,764,2,S5_764
5462,S21-764-2,S21,764,2,S21_764
3869,S22-764-2,S22,764,2,S22_764
3065,S4-764-2,S4,764,2,S4_764
2415,S17-764-1,S17,764,1,S17_764
415,S14-764-2,S14,764,2,S14_764
1409,S20-764-2,S20,764,2,S20_764
5342,S24-764-2,S24,764,2,S24_764
4773,S18-764-2,S18,764,2,S18_764
2911,S1-764-1,S1,764,1,S1_764
1374,S20-764-1,S20,764,1,S20_764
4553,S5-764-1,S5,764,1,S5_764
2428,S1-764-2,S1,764,2,S1_764
1211,S19-764-1,S19,764,1,S19_764
876,S16-764-1,S16,764,1,S16_764
4907,S6-764-1,S6,764,1,S6_764
2998,S2-764-2,S2,764,2,S2_764
5465,S21-764-1,S21,764,1,S21_764
4525,S17-764-2,S17,764,2,S17_764
2100,S7-764-2,S7,764,2,S7_764
2728,S12-A554-2,S12,A554,2,S12_A554
3106,S6-A554-2,S6,A554,2,S6_A554
2162,S3-A554-2,S3,A554,2,S3_A554
2402,S15-A554-2,S15,A554,2,S15_A554
2878,S9-A554-1,S9,A554,1,S9_A554
2492,S2-A554-1,S2,A554,1,S2_A554
5235,S18-A554-1,S18,A554,1,S18_A554
1758,S20-A554-1,S20,A554,1,S20_A554
1546,S19-A554-2,S19,A554,2,S19_A554
3542,S12-A554-1,S12,A554,1,S12_A554
2365,S22-A554-1,S22,A554,1,S22_A554
4834,S24-A554-1,S24,A554,1,S24_A554
408,S14-A554-1,S14,A554,1,S14_A554
1266,S16-A554-2,S16,A554,2,S16_A554
2538,S7-A554-1,S7,A554,1,S7_A554
2553,S4-A554-1,S4,A554,1,S4_A554
3139,S9-A554-2,S9,A554,2,S9_A554
2419,S3-A554-1,S3,A554,1,S3_A554
3527,S5-A554-2,S5,A554,2,S5_A554
2315,S15-A554-1,S15,A554,1,S15_A554
4652,S21-A554-2,S21,A554,2,S21_A554
3309,S22-A554-2,S22,A554,2,S22_A554
2652,S4-A554-2,S4,A554,2,S4_A554
185,S14-A554-2,S14,A554,2,S14_A554
2354,S17-A554-1,S17,A554,1,S17_A554
1639,S20-A554-2,S20,A554,2,S20_A554
5117,S24-A554-2,S24,A554,2,S24_A554
4467,S18-A554-2,S18,A554,2,S18_A554
1920,S1-A554-1,S1,A554,1,S1_A554
4087,S5-A554-1,S5,A554,1,S5_A554
1426,S19-A554-1,S19,A554,1,S19_A554
1237,S16-A554-1,S16,A554,1,S16_A554
4292,S6-A554-1,S6,A554,1,S6_A554
2213,S2-A554-2,S2,A554,2,S2_A554
2209,S1-A554-2,S1,A554,2,S1_A554
5180,S21-A554-1,S21,A554,1,S21_A554
1982,S17-A554-2,S17,A554,2,S17_A554
2058,S7-A554-2,S7,A554,2,S7_A554
2841,S12-B57-2,S12,B57,2,S12_B57
1572,S3-B57-2,S3,B57,2,S3_B57
2292,S15-B57-2,S15,B57,2,S15_B57
3354,S6-B57-2,S6,B57,2,S6_B57
2403,S9-B57-1,S9,B57,1,S9_B57
2333,S2-B57-1,S2,B57,1,S2_B57
4025,S18-B57-1,S18,B57,1,S18_B57
1703,S19-B57-2,S19,B57,2,S19_B57
2622,S12-B57-1,S12,B57,1,S12_B57
1976,S20-B57-1,S20,B57,1,S20_B57
2111,S22-B57-1,S22,B57,1,S22_B57
4969,S24-B57-1,S24,B57,1,S24_B57
492,S14-B57-1,S14,B57,1,S14_B57
2171,S7-B57-1,S7,B57,1,S7_B57
1302,S16-B57-2,S16,B57,2,S16_B57
2808,S4-B57-1,S4,B57,1,S4_B57
2620,S9-B57-2,S9,B57,2,S9_B57
2092,S3-B57-1,S3,B57,1,S3_B57
3636,S5-B57-2,S5,B57,2,S5_B57
4661,S21-B57-2,S21,B57,2,S21_B57
3979,S22-B57-2,S22,B57,2,S22_B57
2348,S4-B57-2,S4,B57,2,S4_B57
176,S14-B57-2,S14,B57,2,S14_B57
2016,S20-B57-2,S20,B57,2,S20_B57
3520,S17-B57-1,S17,B57,1,S17_B57
4552,S24-B57-2,S24,B57,2,S24_B57
4177,S18-B57-2,S18,B57,2,S18_B57
1895,S1-B57-1,S1,B57,1,S1_B57
3911,S5-B57-1,S5,B57,1,S5_B57
1715,S19-B57-1,S19,B57,1,S19_B57
1338,S16-B57-1,S16,B57,1,S16_B57
2635,S1-B57-2,S1,B57,2,S1_B57
4124,S6-B57-1,S6,B57,1,S6_B57
2079,S2-B57-2,S2,B57,2,S2_B57
4290,S21-B57-1,S21,B57,1,S21_B57
3086,S17-B57-2,S17,B57,2,S17_B57
2085,S7-B57-2,S7,B57,2,S7_B57
2157,S15-B57-1,S15,B57,1,S15_B57
1036,S12-FBB0-2,S12,FBB0,2,S12_FBB0
2281,S3-FBB0-2,S3,FBB0,2,S3_FBB0
5240,S6-FBB0-2,S6,FBB0,2,S6_FBB0
3146,S15-FBB0-2,S15,FBB0,2,S15_FBB0
5911,S9-FBB0-1,S9,FBB0,1,S9_FBB0
1787,S2-FBB0-1,S2,FBB0,1,S2_FBB0
5074,S18-FBB0-1,S18,FBB0,1,S18_FBB0
1389,S19-FBB0-2,S19,FBB0,2,S19_FBB0
966,S12-FBB0-1,S12,FBB0,1,S12_FBB0
862,S20-FBB0-1,S20,FBB0,1,S20_FBB0
4772,S22-FBB0-1,S22,FBB0,1,S22_FBB0
4925,S24-FBB0-1,S24,FBB0,1,S24_FBB0
128,S14-FBB0-1,S14,FBB0,1,S14_FBB0
3568,S7-FBB0-1,S7,FBB0,1,S7_FBB0
3126,S4-FBB0-1,S4,FBB0,1,S4_FBB0
1367,S16-FBB0-2,S16,FBB0,2,S16_FBB0
5682,S9-FBB0-2,S9,FBB0,2,S9_FBB0
3244,S3-FBB0-1,S3,FBB0,1,S3_FBB0
3978,S5-FBB0-2,S5,FBB0,2,S5_FBB0
6430,S21-FBB0-2,S21,FBB0,2,S21_FBB0
4791,S22-FBB0-2,S22,FBB0,2,S22_FBB0
4283,S17-FBB0-1,S17,FBB0,1,S17_FBB0
2924,S4-FBB0-2,S4,FBB0,2,S4_FBB0
87,S14-FBB0-2,S14,FBB0,2,S14_FBB0
827,S20-FBB0-2,S20,FBB0,2,S20_FBB0
5283,S24-FBB0-2,S24,FBB0,2,S24_FBB0
5075,S18-FBB0-2,S18,FBB0,2,S18_FBB0
3902,S1-FBB0-1,S1,FBB0,1,S1_FBB0
3731,S5-FBB0-1,S5,FBB0,1,S5_FBB0
1399,S19-FBB0-1,S19,FBB0,1,S19_FBB0
1516,S16-FBB0-1,S16,FBB0,1,S16_FBB0
4096,S1-FBB0-2,S1,FBB0,2,S1_FBB0
5403,S6-FBB0-1,S6,FBB0,1,S6_FBB0
1872,S2-FBB0-2,S2,FBB0,2,S2_FBB0
6512,S21-FBB0-1,S21,FBB0,1,S21_FBB0
3437,S15-FBB0-1,S15,FBB0,1,S15_FBB0
4552,S17-FBB0-2,S17,FBB0,2,S17_FBB0
3653,S7-FBB0-2,S7,FBB0,2,S7_FBB0
2142,S12-HP301-2,S12,HP301,2,S12_HP301
2410,S3-HP301-2,S3,HP301,2,S3_HP301
2080,S15-HP301-2,S15,HP301,2,S15_HP301
2997,S9-HP301-1,S9,HP301,1,S9_HP301
3982,S6-HP301-2,S6,HP301,2,S6_HP301
3042,S2-HP301-1,S2,HP301,1,S2_HP301
4301,S18-HP301-1,S18,HP301,1,S18_HP301
1645,S19-HP301-2,S19,HP301,2,S19_HP301
2065,S20-HP301-1,S20,HP301,1,S20_HP301
1821,S12-HP301-1,S12,HP301,1,S12_HP301
3708,S22-HP301-1,S22,HP301,1,S22_HP301
4876,S24-HP301-1,S24,HP301,1,S24_HP301
578,S14-HP301-1,S14,HP301,1,S14_HP301
1203,S16-HP301-2,S16,HP301,2,S16_HP301
2296,S7-HP301-1,S7,HP301,1,S7_HP301
2905,S4-HP301-1,S4,HP301,1,S4_HP301
2500,S9-HP301-2,S9,HP301,2,S9_HP301
2329,S3-HP301-1,S3,HP301,1,S3_HP301
2826,S5-HP301-2,S5,HP301,2,S5_HP301
5396,S21-HP301-2,S21,HP301,2,S21_HP301
2393,S22-HP301-2,S22,HP301,2,S22_HP301
2712,S4-HP301-2,S4,HP301,2,S4_HP301
3295,S17-HP301-1,S17,HP301,1,S17_HP301
489,S14-HP301-2,S14,HP301,2,S14_HP301
1864,S20-HP301-2,S20,HP301,2,S20_HP301
5048,S24-HP301-2,S24,HP301,2,S24_HP301
4279,S18-HP301-2,S18,HP301,2,S18_HP301
2450,S1-HP301-1,S1,HP301,1,S1_HP301
4401,S5-HP301-1,S5,HP301,1,S5_HP301
1647,S19-HP301-1,S19,HP301,1,S19_HP301
1062,S16-HP301-1,S16,HP301,1,S16_HP301
4420,S6-HP301-1,S6,HP301,1,S6_HP301
2324,S1-HP301-2,S1,HP301,2,S1_HP301
2745,S2-HP301-2,S2,HP301,2,S2_HP301
5510,S21-HP301-1,S21,HP301,1,S21_HP301
2680,S17-HP301-2,S17,HP301,2,S17_HP301
2073,S15-HP301-1,S15,HP301,1,S15_HP301
2170,S7-HP301-2,S7,HP301,2,S7_HP301
2687,S12-LH60-2,S12,LH60,2,S12_LH60
3365,S6-LH60-2,S6,LH60,2,S6_LH60
2195,S3-LH60-2,S3,LH60,2,S3_LH60
2332,S15-LH60-2,S15,LH60,2,S15_LH60
3031,S9-LH60-1,S9,LH60,1,S9_LH60
1951,S2-LH60-1,S2,LH60,1,S2_LH60
4592,S18-LH60-1,S18,LH60,1,S18_LH60
1218,S19-LH60-2,S19,LH60,2,S19_LH60
2389,S12-LH60-1,S12,LH60,1,S12_LH60
3737,S22-LH60-1,S22,LH60,1,S22_LH60
5275,S24-LH60-1,S24,LH60,1,S24_LH60
1337,S16-LH60-2,S16,LH60,2,S16_LH60
549,S14-LH60-1,S14,LH60,1,S14_LH60
2286,S7-LH60-1,S7,LH60,1,S7_LH60
2612,S4-LH60-1,S4,LH60,1,S4_LH60
2859,S9-LH60-2,S9,LH60,2,S9_LH60
2074,S3-LH60-1,S3,LH60,1,S3_LH60
3420,S5-LH60-2,S5,LH60,2,S5_LH60
5357,S21-LH60-2,S21,LH60,2,S21_LH60
3712,S22-LH60-2,S22,LH60,2,S22_LH60
2806,S4-LH60-2,S4,LH60,2,S4_LH60
435,S14-LH60-2,S14,LH60,2,S14_LH60
1671,S20-LH60-2,S20,LH60,2,S20_LH60
3625,S17-LH60-1,S17,LH60,1,S17_LH60
5343,S24-LH60-2,S24,LH60,2,S24_LH60
4603,S18-LH60-2,S18,LH60,2,S18_LH60
1849,S1-LH60-1,S1,LH60,1,S1_LH60
3665,S5-LH60-1,S5,LH60,1,S5_LH60
2217,S1-LH60-2,S1,LH60,2,S1_LH60
1499,S19-LH60-1,S19,LH60,1,S19_LH60
1210,S16-LH60-1,S16,LH60,1,S16_LH60
3761,S6-LH60-1,S6,LH60,1,S6_LH60
2310,S2-LH60-2,S2,LH60,2,S2_LH60
4866,S21-LH60-1,S21,LH60,1,S21_LH60
3271,S17-LH60-2,S17,LH60,2,S17_LH60
1812,S7-LH60-2,S7,LH60,2,S7_LH60
4003,S12-NC262-2,S12,NC262,2,S12_NC262
2319,S3-NC262-2,S3,NC262,2,S3_NC262
1716,S15-NC262-2,S15,NC262,2,S15_NC262
3187,S9-NC262-1,S9,NC262,1,S9_NC262
1607,S2-NC262-1,S2,NC262,1,S2_NC262
3525,S6-NC262-2,S6,NC262,2,S6_NC262
4319,S18-NC262-1,S18,NC262,1,S18_NC262
1565,S19-NC262-2,S19,NC262,2,S19_NC262
2259,S12-NC262-1,S12,NC262,1,S12_NC262
2850,S22-NC262-1,S22,NC262,1,S22_NC262
4793,S24-NC262-1,S24,NC262,1,S24_NC262
1399,S16-NC262-2,S16,NC262,2,S16_NC262
677,S14-NC262-1,S14,NC262,1,S14_NC262
2102,S7-NC262-1,S7,NC262,1,S7_NC262
2079,S4-NC262-1,S4,NC262,1,S4_NC262
2858,S9-NC262-2,S9,NC262,2,S9_NC262
2607,S3-NC262-1,S3,NC262,1,S3_NC262
3380,S5-NC262-2,S5,NC262,2,S5_NC262
1679,S15-NC262-1,S15,NC262,1,S15_NC262
4639,S21-NC262-2,S21,NC262,2,S21_NC262
3077,S22-NC262-2,S22,NC262,2,S22_NC262
3030,S17-NC262-1,S17,NC262,1,S17_NC262
2715,S4-NC262-2,S4,NC262,2,S4_NC262
259,S14-NC262-2,S14,NC262,2,S14_NC262
1746,S20-NC262-2,S20,NC262,2,S20_NC262
4521,S24-NC262-2,S24,NC262,2,S24_NC262
4706,S18-NC262-2,S18,NC262,2,S18_NC262
1720,S20-NC262-1,S20,NC262,1,S20_NC262
1725,S1-NC262-1,S1,NC262,1,S1_NC262
3524,S5-NC262-1,S5,NC262,1,S5_NC262
1458,S19-NC262-1,S19,NC262,1,S19_NC262
1409,S16-NC262-1,S16,NC262,1,S16_NC262
3381,S6-NC262-1,S6,NC262,1,S6_NC262
1448,S2-NC262-2,S2,NC262,2,S2_NC262
1773,S1-NC262-2,S1,NC262,2,S1_NC262
5027,S21-NC262-1,S21,NC262,1,S21_NC262
3674,S17-NC262-2,S17,NC262,2,S17_NC262
2183,S7-NC262-2,S7,NC262,2,S7_NC262
2539,S12-PHG35-2,S12,PHG35,2,S12_PHG35
2615,S3-PHG35-2,S3,PHG35,2,S3_PHG35
2203,S15-PHG35-2,S15,PHG35,2,S15_PHG35
3762,S6-PHG35-2,S6,PHG35,2,S6_PHG35
3215,S9-PHG35-1,S9,PHG35,1,S9_PHG35
2362,S2-PHG35-1,S2,PHG35,1,S2_PHG35
4288,S18-PHG35-1,S18,PHG35,1,S18_PHG35
1650,S19-PHG35-2,S19,PHG35,2,S19_PHG35
3004,S12-PHG35-1,S12,PHG35,1,S12_PHG35
2355,S22-PHG35-1,S22,PHG35,1,S22_PHG35
5663,S24-PHG35-1,S24,PHG35,1,S24_PHG35
498,S14-PHG35-1,S14,PHG35,1,S14_PHG35
2747,S7-PHG35-1,S7,PHG35,1,S7_PHG35
1244,S16-PHG35-2,S16,PHG35,2,S16_PHG35
2881,S4-PHG35-1,S4,PHG35,1,S4_PHG35
2827,S9-PHG35-2,S9,PHG35,2,S9_PHG35
2663,S3-PHG35-1,S3,PHG35,1,S3_PHG35
3503,S5-PHG35-2,S5,PHG35,2,S5_PHG35
5581,S21-PHG35-2,S21,PHG35,2,S21_PHG35
3285,S17-PHG35-1,S17,PHG35,1,S17_PHG35
3452,S22-PHG35-2,S22,PHG35,2,S22_PHG35
2868,S4-PHG35-2,S4,PHG35,2,S4_PHG35
445,S14-PHG35-2,S14,PHG35,2,S14_PHG35
1692,S20-PHG35-2,S20,PHG35,2,S20_PHG35
4571,S24-PHG35-2,S24,PHG35,2,S24_PHG35
4789,S18-PHG35-2,S18,PHG35,2,S18_PHG35
2221,S1-PHG35-1,S1,PHG35,1,S1_PHG35
3643,S5-PHG35-1,S5,PHG35,1,S5_PHG35
1373,S19-PHG35-1,S19,PHG35,1,S19_PHG35
2345,S1-PHG35-2,S1,PHG35,2,S1_PHG35
1117,S16-PHG35-1,S16,PHG35,1,S16_PHG35
4899,S6-PHG35-1,S6,PHG35,1,S6_PHG35
2218,S2-PHG35-2,S2,PHG35,2,S2_PHG35
5846,S21-PHG35-1,S21,PHG35,1,S21_PHG35
3598,S17-PHG35-2,S17,PHG35,2,S17_PHG35
1940,S7-PHG35-2,S7,PHG35,2,S7_PHG35
1926,S12-PHG39-2,S12,PHG39,2,S12_PHG39
1959,S3-PHG39-2,S3,PHG39,2,S3_PHG39
2137,S15-PHG39-2,S15,PHG39,2,S15_PHG39
3017,S9-PHG39-1,S9,PHG39,1,S9_PHG39
3421,S6-PHG39-2,S6,PHG39,2,S6_PHG39
1959,S2-PHG39-1,S2,PHG39,1,S2_PHG39
4568,S18-PHG39-1,S18,PHG39,1,S18_PHG39
1514,S19-PHG39-2,S19,PHG39,2,S19_PHG39
2379,S12-PHG39-1,S12,PHG39,1,S12_PHG39
3600,S22-PHG39-1,S22,PHG39,1,S22_PHG39
1071,S16-PHG39-2,S16,PHG39,2,S16_PHG39
5684,S24-PHG39-1,S24,PHG39,1,S24_PHG39
466,S14-PHG39-1,S14,PHG39,1,S14_PHG39
2472,S7-PHG39-1,S7,PHG39,1,S7_PHG39
2743,S4-PHG39-1,S4,PHG39,1,S4_PHG39
2761,S9-PHG39-2,S9,PHG39,2,S9_PHG39
2447,S3-PHG39-1,S3,PHG39,1,S3_PHG39
3802,S5-PHG39-2,S5,PHG39,2,S5_PHG39
5007,S21-PHG39-2,S21,PHG39,2,S21_PHG39
3071,S17-PHG39-1,S17,PHG39,1,S17_PHG39
3549,S22-PHG39-2,S22,PHG39,2,S22_PHG39
2651,S4-PHG39-2,S4,PHG39,2,S4_PHG39
341,S14-PHG39-2,S14,PHG39,2,S14_PHG39
1786,S20-PHG39-2,S20,PHG39,2,S20_PHG39
4445,S24-PHG39-2,S24,PHG39,2,S24_PHG39
4136,S18-PHG39-2,S18,PHG39,2,S18_PHG39
1778,S20-PHG39-1,S20,PHG39,1,S20_PHG39
1409,S1-PHG39-1,S1,PHG39,1,S1_PHG39
4684,S5-PHG39-1,S5,PHG39,1,S5_PHG39
1393,S19-PHG39-1,S19,PHG39,1,S19_PHG39
2196,S1-PHG39-2,S1,PHG39,2,S1_PHG39
1096,S16-PHG39-1,S16,PHG39,1,S16_PHG39
3562,S6-PHG39-1,S6,PHG39,1,S6_PHG39
1997,S2-PHG39-2,S2,PHG39,2,S2_PHG39
4971,S21-PHG39-1,S21,PHG39,1,S21_PHG39
4022,S17-PHG39-2,S17,PHG39,2,S17_PHG39
2206,S15-PHG39-1,S15,PHG39,1,S15_PHG39
1843,S7-PHG39-2,S7,PHG39,2,S7_PHG39
4521,S12-PHG47-2,S12,PHG47,2,S12_PHG47
3326,S3-PHG47-2,S3,PHG47,2,S3_PHG47
2399,S15-PHG47-2,S15,PHG47,2,S15_PHG47
3524,S9-PHG47-1,S9,PHG47,1,S9_PHG47
3007,S2-PHG47-1,S2,PHG47,1,S2_PHG47
5543,S6-PHG47-2,S6,PHG47,2,S6_PHG47
5184,S18-PHG47-1,S18,PHG47,1,S18_PHG47
1753,S19-PHG47-2,S19,PHG47,2,S19_PHG47
1374,S12-PHG47-1,S12,PHG47,1,S12_PHG47
2819,S22-PHG47-1,S22,PHG47,1,S22_PHG47
5138,S24-PHG47-1,S24,PHG47,1,S24_PHG47
507,S14-PHG47-1,S14,PHG47,1,S14_PHG47
2033,S7-PHG47-1,S7,PHG47,1,S7_PHG47
3180,S4-PHG47-1,S4,PHG47,1,S4_PHG47
990,S16-PHG47-2,S16,PHG47,2,S16_PHG47
3275,S9-PHG47-2,S9,PHG47,2,S9_PHG47
2665,S15-PHG47-1,S15,PHG47,1,S15_PHG47
2819,S3-PHG47-1,S3,PHG47,1,S3_PHG47
4508,S5-PHG47-2,S5,PHG47,2,S5_PHG47
5151,S21-PHG47-2,S21,PHG47,2,S21_PHG47
3880,S22-PHG47-2,S22,PHG47,2,S22_PHG47
3100,S4-PHG47-2,S4,PHG47,2,S4_PHG47
397,S14-PHG47-2,S14,PHG47,2,S14_PHG47
3376,S17-PHG47-1,S17,PHG47,1,S17_PHG47
969,S20-PHG47-2,S20,PHG47,2,S20_PHG47
5192,S24-PHG47-2,S24,PHG47,2,S24_PHG47
1597,S20-PHG47-1,S20,PHG47,1,S20_PHG47
5417,S18-PHG47-2,S18,PHG47,2,S18_PHG47
2698,S1-PHG47-1,S1,PHG47,1,S1_PHG47
4621,S5-PHG47-1,S5,PHG47,1,S5_PHG47
1372,S19-PHG47-1,S19,PHG47,1,S19_PHG47
850,S16-PHG47-1,S16,PHG47,1,S16_PHG47
6564,S6-PHG47-1,S6,PHG47,1,S6_PHG47
3284,S1-PHG47-2,S1,PHG47,2,S1_PHG47
2953,S2-PHG47-2,S2,PHG47,2,S2_PHG47
5742,S21-PHG47-1,S21,PHG47,1,S21_PHG47
4650,S17-PHG47-2,S17,PHG47,2,S17_PHG47
2687,S7-PHG47-2,S7,PHG47,2,S7_PHG47