Sample_Name,B.caccae,B.ovatus,B.acidifaciens,B.fragilis,B.thetaiotaomicron,B.cellulosilyticus,B.stercoris,B.eggerthii,B.uniformis,B.massiliensis,B.vulgatus,B.dorei,Microbiome,Seed_Type,Reps
S12-764-2,81,171,0,0,100,6,426,0,17,190,506,0,S12,764,2
S3-764-2,25,109,1,0,40,79,144,0,0,63,416,0,S3,764,2
S6-764-2,0,9,2,171,257,16,3,43,82,3,908,135,S6,764,2
S15-764-2,0,87,1,1,36,87,458,0,131,260,243,57,S15,764,2
S9-764-1,46,1158,0,1,30,1,297,222,30,46,1131,0,S9,764,1
S2-764-1,167,1191,3,0,2,40,1,0,68,0,9,565,S2,764,1
S18-764-1,0,3,1,163,249,3,2,1754,24,3,26,1454,S18,764,1
S19-764-2,35,85,0,0,48,145,164,0,80,163,381,13,S19,764,2
S12-764-1,527,900,0,0,376,0,903,0,42,419,2137,4,S12,764,1
S22-764-1,79,769,0,2,1,1,0,0,670,0,1298,2,S22,764,1
S16-764-2,0,60,0,1,97,37,8,0,8,239,363,3,S16,764,2
S24-764-1,4,2093,0,0,86,71,3,0,272,575,1846,3,S24,764,1
S14-764-1,1,23,1,0,6,4,1,0,4,1,384,310,S14,764,1
S7-764-1,0,147,0,99,323,0,0,0,401,2,19,378,S7,764,1
S4-764-1,3,2,1170,0,93,216,429,0,91,0,780,3,S4,764,1
S9-764-2,32,1202,0,0,14,0,360,176,72,44,1138,4,S9,764,2
S3-764-1,29,174,6,0,55,153,150,1,0,87,426,1,S3,764,1
S15-764-1,0,66,0,0,40,164,525,1,248,370,322,74,S15,764,1
S5-764-2,2,12,2,135,570,1924,4,0,53,0,1010,4,S5,764,2
S21-764-2,0,3054,1,0,211,3,0,0,4,0,889,2,S21,764,2
S22-764-2,83,1011,1,5,2,1,0,0,686,0,1420,4,S22,764,2
S4-764-2,0,2,968,0,79,321,369,1,130,1,649,2,S4,764,2
S17-764-1,0,148,3,0,3,3,2,0,3,0,1124,167,S17,764,1
S14-764-2,0,8,2,0,1,0,0,0,7,0,199,146,S14,764,2
S20-764-2,33,3,2,9,136,416,0,0,78,1,359,1,S20,764,2
S24-764-2,9,1543,0,0,84,179,5,0,275,689,1691,1,S24,764,2
S18-764-2,0,7,0,163,355,2,3,1420,11,0,15,1151,S18,764,2
S1-764-1,14,60,1,0,91,425,875,7,0,84,458,0,S1,764,1
S20-764-1,48,1,0,23,174,223,2,2,68,0,371,0,S20,764,1
S5-764-1,1,2,0,129,509,2305,6,0,74,0,912,0,S5,764,1
S1-764-2,10,50,0,0,51,333,799,8,1,90,516,2,S1,764,2
S19-764-1,16,47,3,0,37,128,62,0,79,137,285,3,S19,764,1
S16-764-1,0,44,4,0,73,24,16,0,12,219,315,1,S16,764,1
S6-764-1,1,33,3,207,378,19,3,73,97,0,975,130,S6,764,1
S2-764-2,156,1296,5,0,0,96,0,0,45,0,9,540,S2,764,2
S21-764-1,0,2943,0,3,208,0,0,2,8,1,970,2,S21,764,1
S17-764-2,0,463,1,0,8,0,0,1,1,0,1453,262,S17,764,2
S7-764-2,2,130,0,108,187,5,2,0,356,0,3,301,S7,764,2
S12-A554-2,178,256,0,0,216,4,701,0,18,295,808,3,S12,A554,2
S6-A554-2,1,7,2,233,349,8,4,32,71,0,892,120,S6,A554,2
S3-A554-2,41,152,0,0,69,58,146,1,2,119,556,0,S3,A554,2
S15-A554-2,0,60,1,0,43,115,372,0,207,429,322,78,S15,A554,2
S9-A554-1,38,445,3,0,34,0,402,70,35,59,1239,2,S9,A554,1
S2-A554-1,210,634,15,1,2,34,2,0,57,0,26,686,S2,A554,1
S18-A554-1,2,4,0,265,546,1,3,609,20,1,31,2123,S18,A554,1
S20-A554-1,66,7,0,40,208,293,2,0,67,0,483,5,S20,A554,1
S19-A554-2,16,41,2,0,41,101,142,0,93,200,441,12,S19,A554,2
S12-A554-1,159,463,0,0,272,0,1057,1,28,309,987,1,S12,A554,1
S22-A554-1,84,369,0,3,1,2,0,0,512,1,918,2,S22,A554,1
S24-A554-1,8,1175,0,0,81,65,1,1,219,550,1813,3,S24,A554,1
S14-A554-1,3,18,1,0,3,0,2,0,1,2,164,185,S14,A554,1
S16-A554-2,0,59,0,2,124,13,33,0,10,332,429,0,S16,A554,2
S7-A554-1,0,79,1,154,326,0,2,0,442,2,9,524,S7,A554,1
S4-A554-1,0,0,757,0,93,207,410,0,97,3,445,4,S4,A554,1
S9-A554-2,35,529,2,1,57,0,388,118,50,61,1318,4,S9,A554,2
S3-A554-1,43,192,3,0,84,75,163,0,0,128,568,2,S3,A554,1
S5-A554-2,0,4,1,149,543,1022,3,0,59,0,1041,5,S5,A554,2
S15-A554-1,0,52,0,1,39,76,325,0,196,411,351,58,S15,A554,1
S21-A554-2,1,1582,2,1,337,1,0,0,3,1,1259,0,S21,A554,2
S22-A554-2,64,490,1,2,0,3,0,0,655,1,1563,3,S22,A554,2
S4-A554-2,0,3,869,0,93,184,356,0,158,2,445,1,S4,A554,2
S14-A554-2,0,7,4,0,0,1,0,0,2,0,49,69,S14,A554,2
S17-A554-1,0,155,0,0,3,2,0,0,0,1,1054,244,S17,A554,1
S20-A554-2,38,12,7,43,172,246,0,0,88,0,555,1,S20,A554,2
S24-A554-2,4,1014,0,0,96,113,1,0,288,647,2063,2,S24,A554,2
S18-A554-2,0,8,0,281,411,4,0,719,10,3,29,1444,S18,A554,2
S1-A554-1,24,40,1,1,87,180,383,2,2,83,539,2,S1,A554,1
S5-A554-1,3,6,0,316,682,1339,0,0,64,4,1000,5,S5,A554,1
S19-A554-1,23,38,0,0,38,102,94,0,64,209,422,16,S19,A554,1
S16-A554-1,0,33,2,3,111,12,30,1,25,412,362,1,S16,A554,1
S6-A554-1,1,24,2,324,465,10,4,144,102,0,1239,157,S6,A554,1
S2-A554-2,186,553,4,2,3,87,0,1,44,2,7,662,S2,A554,2
S1-A554-2,21,44,0,1,118,181,490,5,0,109,666,3,S1,A554,2
S21-A554-1,2,2169,0,0,258,2,0,0,4,6,1209,6,S21,A554,1
S17-A554-2,0,126,0,0,5,1,0,0,1,1,972,163,S17,A554,2
S7-A554-2,0,72,0,84,338,1,0,0,364,0,5,458,S7,A554,2
S12-B57-2,141,536,1,0,242,2,715,1,11,224,768,1,S12,B57,2
S3-B57-2,35,121,2,0,90,38,141,2,1,146,572,2,S3,B57,2
S15-B57-2,2,81,0,0,48,111,221,0,164,451,422,56,S15,B57,2
S6-B57-2,0,6,0,246,343,15,0,31,85,1,994,137,S6,B57,2
S9-B57-1,52,345,0,0,57,2,327,54,24,58,1023,4,S9,B57,1
S2-B57-1,191,603,12,0,2,123,0,0,53,0,17,580,S2,B57,1
S18-B57-1,0,6,0,175,374,0,0,575,11,1,22,1664,S18,B57,1
S19-B57-2,22,48,0,0,54,159,152,1,120,175,420,9,S19,B57,2
S12-B57-1,150,496,1,0,185,0,599,0,26,235,708,3,S12,B57,1
S20-B57-1,106,6,0,40,217,168,1,0,128,2,554,0,S20,B57,1
S22-B57-1,69,312,2,1,1,0,0,0,433,1,899,3,S22,B57,1
S24-B57-1,5,1010,1,4,109,98,1,2,250,737,1855,5,S24,B57,1
S14-B57-1,0,17,4,0,1,2,1,0,2,0,248,157,S14,B57,1
S7-B57-1,0,73,0,109,388,1,0,1,404,1,12,441,S7,B57,1
S16-B57-2,0,64,2,1,132,66,29,0,19,322,403,4,S16,B57,2
S4-B57-1,0,3,955,0,173,127,479,0,109,1,509,2,S4,B57,1
S9-B57-2,44,451,0,0,36,1,326,84,53,61,1084,0,S9,B57,2
S3-B57-1,45,123,5,0,69,132,125,1,5,120,463,3,S3,B57,1
S5-B57-2,1,7,0,150,582,1073,1,2,50,2,1073,1,S5,B57,2
S21-B57-2,0,1643,3,0,273,0,0,0,5,0,1277,1,S21,B57,2
S22-B57-2,101,651,2,5,0,5,0,0,855,1,1693,1,S22,B57,2
S4-B57-2,0,2,833,1,116,61,453,1,98,0,392,2,S4,B57,2
S14-B57-2,0,5,2,1,0,0,0,0,3,3,53,52,S14,B57,2
S20-B57-2,93,12,5,23,247,351,5,0,102,0,569,0,S20,B57,2
S17-B57-1,0,245,0,0,5,2,8,0,1,0,1471,287,S17,B57,1
S24-B57-2,8,899,2,0,86,158,4,0,263,733,1619,0,S24,B57,2
S18-B57-2,0,6,0,240,312,2,2,612,20,1,15,1452,S18,B57,2
S1-B57-1,22,26,0,2,97,223,343,4,2,114,537,1,S1,B57,1
S5-B57-1,1,0,0,182,578,1381,2,0,78,2,975,2,S5,B57,1
S19-B57-1,38,62,0,0,60,126,97,0,109,312,361,19,S19,B57,1
S16-B57-1,0,75,0,3,108,46,32,0,11,334,419,2,S16,B57,1
S1-B57-2,28,66,0,0,118,273,525,9,4,124,663,1,S1,B57,2
S6-B57-1,0,20,1,260,354,20,1,95,82,0,925,139,S6,B57,1
S2-B57-2,190,472,2,0,0,193,0,0,47,0,10,473,S2,B57,2
S21-B57-1,1,1610,4,1,242,3,0,2,1,0,1102,2,S21,B57,1
S17-B57-2,0,231,0,0,8,3,3,0,0,1,1265,265,S17,B57,2
S7-B57-2,0,68,2,115,299,0,0,0,412,1,7,366,S7,B57,2
S15-B57-1,0,96,0,1,45,139,282,0,179,327,339,56,S15,B57,1
S12-FBB0-2,167,122,1,2,27,1,81,0,16,107,441,1,S12,FBB0,2
S3-FBB0-2,49,127,0,1,28,81,182,1,1,229,711,1,S3,FBB0,2
S6-FBB0-2,0,2,4,292,353,4,2,19,332,2,2106,371,S6,FBB0,2
S15-FBB0-2,0,82,3,0,37,55,321,0,352,683,604,87,S15,FBB0,2
S9-FBB0-1,114,137,0,2,20,1,609,161,23,241,2475,3,S9,FBB0,1
S2-FBB0-1,355,115,3,0,3,84,2,0,16,0,9,694,S2,FBB0,1
S18-FBB0-1,2,9,0,311,463,4,1,284,15,2,57,2620,S18,FBB0,1
S19-FBB0-2,110,21,0,0,46,10,71,0,64,262,460,19,S19,FBB0,2
S12-FBB0-1,157,122,0,4,26,0,78,0,9,102,399,1,S12,FBB0,1
S20-FBB0-1,59,2,0,10,108,77,1,0,90,1,241,2,S20,FBB0,1
S22-FBB0-1,219,215,0,4,2,1,0,0,1967,0,1280,4,S22,FBB0,1
S24-FBB0-1,25,454,5,0,72,30,3,0,416,824,2165,3,S24,FBB0,1
S14-FBB0-1,0,5,1,0,4,3,4,0,6,0,25,12,S14,FBB0,1
S7-FBB0-1,0,28,1,386,535,2,2,0,831,0,14,1189,S7,FBB0,1
S4-FBB0-1,0,1,960,0,286,46,561,1,152,0,424,2,S4,FBB0,1
S16-FBB0-2,0,25,1,6,104,5,79,0,11,368,568,0,S16,FBB0,2
S9-FBB0-2,110,138,1,0,11,0,557,191,30,200,2482,2,S9,FBB0,2
S3-FBB0-1,110,165,3,1,51,127,258,3,2,342,855,3,S3,FBB0,1
S5-FBB0-2,0,1,0,250,570,453,8,0,142,1,1652,3,S5,FBB0,2
S21-FBB0-2,0,2114,0,0,240,1,0,0,10,1,1775,4,S21,FBB0,2
S22-FBB0-2,212,218,1,3,5,1,2,0,1858,1,1446,0,S22,FBB0,2
S17-FBB0-1,0,200,0,0,10,1,2,0,2,4,2222,374,S17,FBB0,1
S4-FBB0-2,0,4,960,0,298,41,422,0,151,1,495,6,S4,FBB0,2
S14-FBB0-2,0,3,0,1,0,1,3,1,2,0,10,6,S14,FBB0,2
S20-FBB0-2,52,3,3,16,94,74,2,0,75,0,245,0,S20,FBB0,2
S24-FBB0-2,27,464,0,0,87,47,2,2,356,957,2403,6,S24,FBB0,2
S18-FBB0-2,0,2,2,308,414,4,2,328,13,1,39,2630,S18,FBB0,2
S1-FBB0-1,127,81,0,0,45,197,801,6,7,207,1139,3,S1,FBB0,1
S5-FBB0-1,0,4,0,235,572,414,2,0,94,0,1721,5,S5,FBB0,1
S19-FBB0-1,111,26,2,0,25,29,91,0,69,230,465,15,S19,FBB0,1
S16-FBB0-1,0,31,3,3,87,10,140,0,33,385,622,2,S16,FBB0,1
S1-FBB0-2,92,67,2,0,52,189,929,3,1,271,1174,11,S1,FBB0,2
S6-FBB0-1,0,4,2,303,352,6,5,23,375,0,2217,378,S6,FBB0,1
S2-FBB0-2,384,130,0,0,0,60,0,0,29,1,11,707,S2,FBB0,2
S21-FBB0-1,1,2401,5,0,231,0,0,0,8,4,1697,3,S21,FBB0,1
S15-FBB0-1,0,104,0,0,49,47,331,2,353,865,624,116,S15,FBB0,1
S17-FBB0-2,0,197,0,1,25,0,1,0,2,0,2464,379,S17,FBB0,2
S7-FBB0-2,3,38,0,398,433,1,0,1,835,1,16,1278,S7,FBB0,2
S12-HP301-2,82,330,0,1,136,5,468,0,13,226,678,2,S12,HP301,2
S3-HP301-2,27,181,3,0,68,87,193,1,0,44,531,1,S3,HP301,2
S15-HP301-2,0,79,0,1,55,46,351,1,132,261,273,77,S15,HP301,2
S9-HP301-1,45,875,1,0,36,0,267,96,51,39,1065,4,S9,HP301,1
S6-HP301-2,0,12,1,225,341,15,1,37,92,1,1024,155,S6,HP301,2
S2-HP301-1,175,1211,15,0,7,79,0,0,52,0,15,643,S2,HP301,1
S18-HP301-1,0,5,0,138,271,1,2,928,8,0,35,1415,S18,HP301,1
S19-HP301-2,25,79,0,0,50,223,96,0,88,157,334,6,S19,HP301,2
S20-HP301-1,63,5,0,32,253,421,0,0,98,1,510,1,S20,HP301,1
S12-HP301-1,66,265,1,0,110,1,477,0,17,194,546,2,S12,HP301,1
S22-HP301-1,84,709,1,4,1,0,0,2,774,1,1513,7,S22,HP301,1
S24-HP301-1,3,1155,1,0,106,73,2,0,200,792,1685,1,S24,HP301,1
S14-HP301-1,0,15,1,1,3,0,6,1,1,0,269,229,S14,HP301,1
S16-HP301-2,0,68,4,1,108,36,21,0,9,313,355,0,S16,HP301,2
S7-HP301-1,0,99,2,131,326,0,3,1,345,0,10,435,S7,HP301,1
S4-HP301-1,0,3,825,0,117,250,403,0,119,0,655,3,S4,HP301,1
S9-HP301-2,46,531,0,2,43,3,259,101,46,48,963,3,S9,HP301,2
S3-HP301-1,45,169,1,0,64,115,135,1,0,117,496,3,S3,HP301,1
S5-HP301-2,0,2,1,109,367,993,0,2,36,2,796,4,S5,HP301,2
S21-HP301-2,0,2874,2,0,206,0,2,2,4,0,983,1,S21,HP301,2
S22-HP301-2,53,519,0,7,2,0,1,0,420,0,958,1,S22,HP301,2
S4-HP301-2,0,2,790,0,76,209,397,0,125,0,594,0,S4,HP301,2
S17-HP301-1,0,252,1,0,5,4,4,0,0,2,1378,269,S17,HP301,1
S14-HP301-2,0,11,0,1,4,1,0,0,1,0,203,210,S14,HP301,2
S20-HP301-2,50,15,4,18,161,479,1,0,95,0,489,1,S20,HP301,2
S24-HP301-2,0,1091,0,1,93,215,1,0,244,538,1917,1,S24,HP301,2
S18-HP301-2,0,13,0,209,271,2,1,916,7,3,21,1313,S18,HP301,2
S1-HP301-1,20,49,3,0,97,322,598,10,0,120,541,4,S1,HP301,1
S5-HP301-1,0,8,2,131,437,2153,0,0,63,0,988,2,S5,HP301,1
S19-HP301-1,36,39,1,3,46,166,79,1,74,283,339,13,S19,HP301,1
S16-HP301-1,0,78,2,0,93,44,18,0,16,240,353,1,S16,HP301,1
S6-HP301-1,1,10,2,288,376,12,1,24,129,1,1194,193,S6,HP301,1
S1-HP301-2,15,50,0,0,75,338,563,4,0,115,619,3,S1,HP301,2
S2-HP301-2,148,1077,11,0,1,114,2,0,48,1,13,513,S2,HP301,2
S21-HP301-1,0,2882,2,0,239,2,0,0,3,0,924,1,S21,HP301,1
S17-HP301-2,0,221,1,0,5,2,0,0,6,5,1125,265,S17,HP301,2
S15-HP301-1,0,61,0,0,37,84,334,0,136,284,299,58,S15,HP301,1
