Bifidobacterium,Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed
0,S12-764-2,S12,764,2,S12_764
12,S3-764-2,S3,764,2,S3_764
0,S6-764-2,S6,764,2,S6_764
1,S15-764-2,S15,764,2,S15_764
23,S9-764-1,S9,764,1,S9_764
12,S2-764-1,S2,764,1,S2_764
7,S18-764-1,S18,764,1,S18_764
7,S19-764-2,S19,764,2,S19_764
10,S12-764-1,S12,764,1,S12_764
2,S22-764-1,S22,764,1,S22_764
1,S16-764-2,S16,764,2,S16_764
2,S24-764-1,S24,764,1,S24_764
7,S14-764-1,S14,764,1,S14_764
2,S7-764-1,S7,764,1,S7_764
0,S4-764-1,S4,764,1,S4_764
63,S9-764-2,S9,764,2,S9_764
12,S3-764-1,S3,764,1,S3_764
3,S15-764-1,S15,764,1,S15_764
3,S5-764-2,S5,764,2,S5_764
0,S21-764-2,S21,764,2,S21_764
2,S22-764-2,S22,764,2,S22_764
0,S4-764-2,S4,764,2,S4_764
0,S17-764-1,S17,764,1,S17_764
10,S14-764-2,S14,764,2,S14_764
28,S20-764-2,S20,764,2,S20_764
1,S24-764-2,S24,764,2,S24_764
1,S18-764-2,S18,764,2,S18_764
5,S1-764-1,S1,764,1,S1_764
31,S20-764-1,S20,764,1,S20_764
4,S5-764-1,S5,764,1,S5_764
2,S1-764-2,S1,764,2,S1_764
8,S19-764-1,S19,764,1,S19_764
2,S16-764-1,S16,764,1,S16_764
5,S6-764-1,S6,764,1,S6_764
7,S2-764-2,S2,764,2,S2_764
1,S21-764-1,S21,764,1,S21_764
4,S17-764-2,S17,764,2,S17_764
1,S7-764-2,S7,764,2,S7_764
3,S12-A554-2,S12,A554,2,S12_A554
3,S6-A554-2,S6,A554,2,S6_A554
3,S3-A554-2,S3,A554,2,S3_A554
2,S15-A554-2,S15,A554,2,S15_A554
39,S9-A554-1,S9,A554,1,S9_A554
4,S2-A554-1,S2,A554,1,S2_A554
4,S18-A554-1,S18,A554,1,S18_A554
17,S20-A554-1,S20,A554,1,S20_A554
5,S19-A554-2,S19,A554,2,S19_A554
1,S12-A554-1,S12,A554,1,S12_A554
1,S22-A554-1,S22,A554,1,S22_A554
3,S24-A554-1,S24,A554,1,S24_A554
5,S14-A554-1,S14,A554,1,S14_A554
0,S16-A554-2,S16,A554,2,S16_A554
0,S7-A554-1,S7,A554,1,S7_A554
1,S4-A554-1,S4,A554,1,S4_A554
30,S9-A554-2,S9,A554,2,S9_A554
0,S3-A554-1,S3,A554,1,S3_A554
1,S5-A554-2,S5,A554,2,S5_A554
5,S15-A554-1,S15,A554,1,S15_A554
6,S21-A554-2,S21,A554,2,S21_A554
0,S22-A554-2,S22,A554,2,S22_A554
0,S4-A554-2,S4,A554,2,S4_A554
7,S14-A554-2,S14,A554,2,S14_A554
2,S17-A554-1,S17,A554,1,S17_A554
22,S20-A554-2,S20,A554,2,S20_A554
1,S24-A554-2,S24,A554,2,S24_A554
6,S18-A554-2,S18,A554,2,S18_A554
3,S1-A554-1,S1,A554,1,S1_A554
4,S5-A554-1,S5,A554,1,S5_A554
4,S19-A554-1,S19,A554,1,S19_A554
1,S16-A554-1,S16,A554,1,S16_A554
8,S6-A554-1,S6,A554,1,S6_A554
3,S2-A554-2,S2,A554,2,S2_A554
7,S1-A554-2,S1,A554,2,S1_A554
1,S21-A554-1,S21,A554,1,S21_A554
1,S17-A554-2,S17,A554,2,S17_A554
3,S7-A554-2,S7,A554,2,S7_A554
1,S12-B57-2,S12,B57,2,S12_B57
1,S3-B57-2,S3,B57,2,S3_B57
2,S15-B57-2,S15,B57,2,S15_B57
0,S6-B57-2,S6,B57,2,S6_B57
27,S9-B57-1,S9,B57,1,S9_B57
10,S2-B57-1,S2,B57,1,S2_B57
5,S18-B57-1,S18,B57,1,S18_B57
8,S19-B57-2,S19,B57,2,S19_B57
1,S12-B57-1,S12,B57,1,S12_B57
45,S20-B57-1,S20,B57,1,S20_B57
2,S22-B57-1,S22,B57,1,S22_B57
0,S24-B57-1,S24,B57,1,S24_B57
6,S14-B57-1,S14,B57,1,S14_B57
5,S7-B57-1,S7,B57,1,S7_B57
0,S16-B57-2,S16,B57,2,S16_B57
0,S4-B57-1,S4,B57,1,S4_B57
35,S9-B57-2,S9,B57,2,S9_B57
0,S3-B57-1,S3,B57,1,S3_B57
0,S5-B57-2,S5,B57,2,S5_B57
1,S21-B57-2,S21,B57,2,S21_B57
0,S22-B57-2,S22,B57,2,S22_B57
0,S4-B57-2,S4,B57,2,S4_B57
0,S14-B57-2,S14,B57,2,S14_B57
62,S20-B57-2,S20,B57,2,S20_B57
0,S17-B57-1,S17,B57,1,S17_B57
3,S24-B57-2,S24,B57,2,S24_B57
1,S18-B57-2,S18,B57,2,S18_B57
4,S1-B57-1,S1,B57,1,S1_B57
3,S5-B57-1,S5,B57,1,S5_B57
7,S19-B57-1,S19,B57,1,S19_B57
0,S16-B57-1,S16,B57,1,S16_B57
6,S1-B57-2,S1,B57,2,S1_B57
2,S6-B57-1,S6,B57,1,S6_B57
7,S2-B57-2,S2,B57,2,S2_B57
2,S21-B57-1,S21,B57,1,S21_B57
0,S17-B57-2,S17,B57,2,S17_B57
1,S7-B57-2,S7,B57,2,S7_B57
9,S15-B57-1,S15,B57,1,S15_B57
4,S12-FBB0-2,S12,FBB0,2,S12_FBB0
3,S3-FBB0-2,S3,FBB0,2,S3_FBB0
11,S6-FBB0-2,S6,FBB0,2,S6_FBB0
5,S15-FBB0-2,S15,FBB0,2,S15_FBB0
190,S9-FBB0-1,S9,FBB0,1,S9_FBB0
19,S2-FBB0-1,S2,FBB0,1,S2_FBB0
4,S18-FBB0-1,S18,FBB0,1,S18_FBB0
2,S19-FBB0-2,S19,FBB0,2,S19_FBB0
0,S12-FBB0-1,S12,FBB0,1,S12_FBB0
16,S20-FBB0-1,S20,FBB0,1,S20_FBB0
1,S22-FBB0-1,S22,FBB0,1,S22_FBB0
9,S24-FBB0-1,S24,FBB0,1,S24_FBB0
0,S14-FBB0-1,S14,FBB0,1,S14_FBB0
2,S7-FBB0-1,S7,FBB0,1,S7_FBB0
0,S4-FBB0-1,S4,FBB0,1,S4_FBB0
0,S16-FBB0-2,S16,FBB0,2,S16_FBB0
208,S9-FBB0-2,S9,FBB0,2,S9_FBB0
1,S3-FBB0-1,S3,FBB0,1,S3_FBB0
1,S5-FBB0-2,S5,FBB0,2,S5_FBB0
2,S21-FBB0-2,S21,FBB0,2,S21_FBB0
4,S22-FBB0-2,S22,FBB0,2,S22_FBB0
4,S17-FBB0-1,S17,FBB0,1,S17_FBB0
0,S4-FBB0-2,S4,FBB0,2,S4_FBB0
0,S14-FBB0-2,S14,FBB0,2,S14_FBB0
28,S20-FBB0-2,S20,FBB0,2,S20_FBB0
4,S24-FBB0-2,S24,FBB0,2,S24_FBB0
7,S18-FBB0-2,S18,FBB0,2,S18_FBB0
9,S1-FBB0-1,S1,FBB0,1,S1_FBB0
0,S5-FBB0-1,S5,FBB0,1,S5_FBB0
9,S19-FBB0-1,S19,FBB0,1,S19_FBB0
1,S16-FBB0-1,S16,FBB0,1,S16_FBB0
12,S1-FBB0-2,S1,FBB0,2,S1_FBB0
4,S6-FBB0-1,S6,FBB0,1,S6_FBB0
24,S2-FBB0-2,S2,FBB0,2,S2_FBB0
1,S21-FBB0-1,S21,FBB0,1,S21_FBB0
0,S15-FBB0-1,S15,FBB0,1,S15_FBB0
1,S17-FBB0-2,S17,FBB0,2,S17_FBB0
10,S7-FBB0-2,S7,FBB0,2,S7_FBB0
2,S12-HP301-2,S12,HP301,2,S12_HP301
2,S3-HP301-2,S3,HP301,2,S3_HP301
0,S15-HP301-2,S15,HP301,2,S15_HP301
52,S9-HP301-1,S9,HP301,1,S9_HP301
1,S6-HP301-2,S6,HP301,2,S6_HP301
7,S2-HP301-1,S2,HP301,1,S2_HP301
0,S18-HP301-1,S18,HP301,1,S18_HP301
6,S19-HP301-2,S19,HP301,2,S19_HP301
19,S20-HP301-1,S20,HP301,1,S20_HP301
0,S12-HP301-1,S12,HP301,1,S12_HP301
3,S22-HP301-1,S22,HP301,1,S22_HP301
1,S24-HP301-1,S24,HP301,1,S24_HP301
0,S14-HP301-1,S14,HP301,1,S14_HP301
0,S16-HP301-2,S16,HP301,2,S16_HP301
2,S7-HP301-1,S7,HP301,1,S7_HP301
0,S4-HP301-1,S4,HP301,1,S4_HP301
39,S9-HP301-2,S9,HP301,2,S9_HP301
2,S3-HP301-1,S3,HP301,1,S3_HP301
1,S5-HP301-2,S5,HP301,2,S5_HP301
1,S21-HP301-2,S21,HP301,2,S21_HP301
0,S22-HP301-2,S22,HP301,2,S22_HP301
0,S4-HP301-2,S4,HP301,2,S4_HP301
2,S17-HP301-1,S17,HP301,1,S17_HP301
10,S14-HP301-2,S14,HP301,2,S14_HP301
32,S20-HP301-2,S20,HP301,2,S20_HP301
0,S24-HP301-2,S24,HP301,2,S24_HP301
0,S18-HP301-2,S18,HP301,2,S18_HP301
3,S1-HP301-1,S1,HP301,1,S1_HP301
0,S5-HP301-1,S5,HP301,1,S5_HP301
5,S19-HP301-1,S19,HP301,1,S19_HP301
1,S16-HP301-1,S16,HP301,1,S16_HP301
70,S6-HP301-1,S6,HP301,1,S6_HP301
7,S1-HP301-2,S1,HP301,2,S1_HP301
4,S2-HP301-2,S2,HP301,2,S2_HP301
4,S21-HP301-1,S21,HP301,1,S21_HP301
0,S17-HP301-2,S17,HP301,2,S17_HP301
2,S15-HP301-1,S15,HP301,1,S15_HP301
5,S7-HP301-2,S7,HP301,2,S7_HP301
0,S12-LH60-2,S12,LH60,2,S12_LH60
3,S6-LH60-2,S6,LH60,2,S6_LH60
1,S3-LH60-2,S3,LH60,2,S3_LH60
1,S15-LH60-2,S15,LH60,2,S15_LH60
34,S9-LH60-1,S9,LH60,1,S9_LH60
2,S2-LH60-1,S2,LH60,1,S2_LH60
7,S18-LH60-1,S18,LH60,1,S18_LH60
3,S19-LH60-2,S19,LH60,2,S19_LH60
0,S12-LH60-1,S12,LH60,1,S12_LH60
0,S22-LH60-1,S22,LH60,1,S22_LH60
4,S24-LH60-1,S24,LH60,1,S24_LH60
0,S16-LH60-2,S16,LH60,2,S16_LH60
4,S14-LH60-1,S14,LH60,1,S14_LH60
0,S7-LH60-1,S7,LH60,1,S7_LH60
0,S4-LH60-1,S4,LH60,1,S4_LH60
46,S9-LH60-2,S9,LH60,2,S9_LH60
3,S3-LH60-1,S3,LH60,1,S3_LH60
1,S5-LH60-2,S5,LH60,2,S5_LH60
3,S21-LH60-2,S21,LH60,2,S21_LH60
0,S22-LH60-2,S22,LH60,2,S22_LH60
0,S4-LH60-2,S4,LH60,2,S4_LH60
3,S14-LH60-2,S14,LH60,2,S14_LH60
36,S20-LH60-2,S20,LH60,2,S20_LH60
0,S17-LH60-1,S17,LH60,1,S17_LH60
0,S24-LH60-2,S24,LH60,2,S24_LH60
0,S18-LH60-2,S18,LH60,2,S18_LH60
0,S1-LH60-1,S1,LH60,1,S1_LH60
4,S5-LH60-1,S5,LH60,1,S5_LH60
5,S1-LH60-2,S1,LH60,2,S1_LH60
3,S19-LH60-1,S19,LH60,1,S19_LH60
0,S16-LH60-1,S16,LH60,1,S16_LH60
3,S6-LH60-1,S6,LH60,1,S6_LH60
17,S2-LH60-2,S2,LH60,2,S2_LH60
2,S21-LH60-1,S21,LH60,1,S21_LH60
1,S17-LH60-2,S17,LH60,2,S17_LH60
2,S7-LH60-2,S7,LH60,2,S7_LH60
2,S12-NC262-2,S12,NC262,2,S12_NC262
0,S3-NC262-2,S3,NC262,2,S3_NC262
3,S15-NC262-2,S15,NC262,2,S15_NC262
57,S9-NC262-1,S9,NC262,1,S9_NC262
5,S2-NC262-1,S2,NC262,1,S2_NC262
3,S6-NC262-2,S6,NC262,2,S6_NC262
5,S18-NC262-1,S18,NC262,1,S18_NC262
5,S19-NC262-2,S19,NC262,2,S19_NC262
1,S12-NC262-1,S12,NC262,1,S12_NC262
3,S22-NC262-1,S22,NC262,1,S22_NC262
3,S24-NC262-1,S24,NC262,1,S24_NC262
2,S16-NC262-2,S16,NC262,2,S16_NC262
3,S14-NC262-1,S14,NC262,1,S14_NC262
3,S7-NC262-1,S7,NC262,1,S7_NC262
0,S4-NC262-1,S4,NC262,1,S4_NC262
47,S9-NC262-2,S9,NC262,2,S9_NC262
0,S3-NC262-1,S3,NC262,1,S3_NC262
2,S5-NC262-2,S5,NC262,2,S5_NC262
0,S15-NC262-1,S15,NC262,1,S15_NC262
0,S21-NC262-2,S21,NC262,2,S21_NC262
2,S22-NC262-2,S22,NC262,2,S22_NC262
5,S17-NC262-1,S17,NC262,1,S17_NC262
0,S4-NC262-2,S4,NC262,2,S4_NC262
4,S14-NC262-2,S14,NC262,2,S14_NC262
35,S20-NC262-2,S20,NC262,2,S20_NC262
2,S24-NC262-2,S24,NC262,2,S24_NC262
0,S18-NC262-2,S18,NC262,2,S18_NC262
35,S20-NC262-1,S20,NC262,1,S20_NC262
0,S1-NC262-1,S1,NC262,1,S1_NC262
3,S5-NC262-1,S5,NC262,1,S5_NC262
14,S19-NC262-1,S19,NC262,1,S19_NC262
0,S16-NC262-1,S16,NC262,1,S16_NC262
8,S6-NC262-1,S6,NC262,1,S6_NC262
6,S2-NC262-2,S2,NC262,2,S2_NC262
1,S1-NC262-2,S1,NC262,2,S1_NC262
2,S21-NC262-1,S21,NC262,1,S21_NC262
5,S17-NC262-2,S17,NC262,2,S17_NC262
3,S7-NC262-2,S7,NC262,2,S7_NC262
0,S12-PHG35-2,S12,PHG35,2,S12_PHG35
0,S3-PHG35-2,S3,PHG35,2,S3_PHG35
2,S15-PHG35-2,S15,PHG35,2,S15_PHG35
1,S6-PHG35-2,S6,PHG35,2,S6_PHG35
34,S9-PHG35-1,S9,PHG35,1,S9_PHG35
6,S2-PHG35-1,S2,PHG35,1,S2_PHG35
1,S18-PHG35-1,S18,PHG35,1,S18_PHG35
8,S19-PHG35-2,S19,PHG35,2,S19_PHG35
0,S12-PHG35-1,S12,PHG35,1,S12_PHG35
0,S22-PHG35-1,S22,PHG35,1,S22_PHG35
4,S24-PHG35-1,S24,PHG35,1,S24_PHG35
1,S14-PHG35-1,S14,PHG35,1,S14_PHG35
3,S7-PHG35-1,S7,PHG35,1,S7_PHG35
0,S16-PHG35-2,S16,PHG35,2,S16_PHG35
0,S4-PHG35-1,S4,PHG35,1,S4_PHG35
42,S9-PHG35-2,S9,PHG35,2,S9_PHG35
0,S3-PHG35-1,S3,PHG35,1,S3_PHG35
3,S5-PHG35-2,S5,PHG35,2,S5_PHG35
0,S21-PHG35-2,S21,PHG35,2,S21_PHG35
1,S17-PHG35-1,S17,PHG35,1,S17_PHG35
0,S22-PHG35-2,S22,PHG35,2,S22_PHG35
0,S4-PHG35-2,S4,PHG35,2,S4_PHG35
4,S14-PHG35-2,S14,PHG35,2,S14_PHG35
35,S20-PHG35-2,S20,PHG35,2,S20_PHG35
5,S24-PHG35-2,S24,PHG35,2,S24_PHG35
3,S18-PHG35-2,S18,PHG35,2,S18_PHG35
5,S1-PHG35-1,S1,PHG35,1,S1_PHG35
2,S5-PHG35-1,S5,PHG35,1,S5_PHG35
3,S19-PHG35-1,S19,PHG35,1,S19_PHG35
6,S1-PHG35-2,S1,PHG35,2,S1_PHG35
0,S16-PHG35-1,S16,PHG35,1,S16_PHG35
6,S6-PHG35-1,S6,PHG35,1,S6_PHG35
8,S2-PHG35-2,S2,PHG35,2,S2_PHG35
8,S21-PHG35-1,S21,PHG35,1,S21_PHG35
2,S17-PHG35-2,S17,PHG35,2,S17_PHG35
1,S7-PHG35-2,S7,PHG35,2,S7_PHG35
2,S12-PHG39-2,S12,PHG39,2,S12_PHG39
0,S3-PHG39-2,S3,PHG39,2,S3_PHG39
2,S15-PHG39-2,S15,PHG39,2,S15_PHG39
30,S9-PHG39-1,S9,PHG39,1,S9_PHG39
1,S6-PHG39-2,S6,PHG39,2,S6_PHG39
5,S2-PHG39-1,S2,PHG39,1,S2_PHG39
3,S18-PHG39-1,S18,PHG39,1,S18_PHG39
15,S19-PHG39-2,S19,PHG39,2,S19_PHG39
0,S12-PHG39-1,S12,PHG39,1,S12_PHG39
1,S22-PHG39-1,S22,PHG39,1,S22_PHG39
0,S16-PHG39-2,S16,PHG39,2,S16_PHG39
6,S24-PHG39-1,S24,PHG39,1,S24_PHG39
9,S14-PHG39-1,S14,PHG39,1,S14_PHG39
0,S7-PHG39-1,S7,PHG39,1,S7_PHG39
0,S4-PHG39-1,S4,PHG39,1,S4_PHG39
53,S9-PHG39-2,S9,PHG39,2,S9_PHG39
2,S3-PHG39-1,S3,PHG39,1,S3_PHG39
4,S5-PHG39-2,S5,PHG39,2,S5_PHG39
1,S21-PHG39-2,S21,PHG39,2,S21_PHG39
0,S17-PHG39-1,S17,PHG39,1,S17_PHG39
2,S22-PHG39-2,S22,PHG39,2,S22_PHG39
0,S4-PHG39-2,S4,PHG39,2,S4_PHG39
3,S14-PHG39-2,S14,PHG39,2,S14_PHG39
50,S20-PHG39-2,S20,PHG39,2,S20_PHG39
2,S24-PHG39-2,S24,PHG39,2,S24_PHG39
2,S18-PHG39-2,S18,PHG39,2,S18_PHG39
49,S20-PHG39-1,S20,PHG39,1,S20_PHG39
1,S1-PHG39-1,S1,PHG39,1,S1_PHG39
6,S5-PHG39-1,S5,PHG39,1,S5_PHG39
3,S19-PHG39-1,S19,PHG39,1,S19_PHG39
5,S1-PHG39-2,S1,PHG39,2,S1_PHG39
0,S16-PHG39-1,S16,PHG39,1,S16_PHG39
3,S6-PHG39-1,S6,PHG39,1,S6_PHG39
2,S2-PHG39-2,S2,PHG39,2,S2_PHG39
1,S21-PHG39-1,S21,PHG39,1,S21_PHG39
4,S17-PHG39-2,S17,PHG39,2,S17_PHG39
0,S15-PHG39-1,S15,PHG39,1,S15_PHG39
1,S7-PHG39-2,S7,PHG39,2,S7_PHG39
2,S12-PHG47-2,S12,PHG47,2,S12_PHG47
2,S3-PHG47-2,S3,PHG47,2,S3_PHG47
3,S15-PHG47-2,S15,PHG47,2,S15_PHG47
41,S9-PHG47-1,S9,PHG47,1,S9_PHG47
10,S2-PHG47-1,S2,PHG47,1,S2_PHG47
5,S6-PHG47-2,S6,PHG47,2,S6_PHG47
0,S18-PHG47-1,S18,PHG47,1,S18_PHG47
5,S19-PHG47-2,S19,PHG47,2,S19_PHG47
1,S12-PHG47-1,S12,PHG47,1,S12_PHG47
3,S22-PHG47-1,S22,PHG47,1,S22_PHG47
4,S24-PHG47-1,S24,PHG47,1,S24_PHG47
27,S14-PHG47-1,S14,PHG47,1,S14_PHG47
3,S7-PHG47-1,S7,PHG47,1,S7_PHG47
0,S4-PHG47-1,S4,PHG47,1,S4_PHG47
0,S16-PHG47-2,S16,PHG47,2,S16_PHG47
48,S9-PHG47-2,S9,PHG47,2,S9_PHG47
2,S15-PHG47-1,S15,PHG47,1,S15_PHG47
1,S3-PHG47-1,S3,PHG47,1,S3_PHG47
5,S5-PHG47-2,S5,PHG47,2,S5_PHG47
3,S21-PHG47-2,S21,PHG47,2,S21_PHG47
2,S22-PHG47-2,S22,PHG47,2,S22_PHG47
1,S4-PHG47-2,S4,PHG47,2,S4_PHG47
8,S14-PHG47-2,S14,PHG47,2,S14_PHG47
3,S17-PHG47-1,S17,PHG47,1,S17_PHG47
30,S20-PHG47-2,S20,PHG47,2,S20_PHG47
8,S24-PHG47-2,S24,PHG47,2,S24_PHG47
34,S20-PHG47-1,S20,PHG47,1,S20_PHG47
5,S18-PHG47-2,S18,PHG47,2,S18_PHG47
5,S1-PHG47-1,S1,PHG47,1,S1_PHG47
6,S5-PHG47-1,S5,PHG47,1,S5_PHG47
25,S19-PHG47-1,S19,PHG47,1,S19_PHG47
2,S16-PHG47-1,S16,PHG47,1,S16_PHG47
20,S6-PHG47-1,S6,PHG47,1,S6_PHG47
6,S1-PHG47-2,S1,PHG47,2,S1_PHG47
30,S2-PHG47-2,S2,PHG47,2,S2_PHG47
1,S21-PHG47-1,S21,PHG47,1,S21_PHG47
1,S17-PHG47-2,S17,PHG47,2,S17_PHG47
1,S7-PHG47-2,S7,PHG47,2,S7_PHG47