Microbiome,Seed_Type,Fusicatenibacter,X.Eubacterium..eligens.group,Lachnospiraceae.NK4A136.group
S12,764,21.5,42.5,21.5
S12,A554,8,42.5,20
S12,B57,8,20.5,14
S12,HP301,26,26.5,9
S12,LH60,11.5,21,12.5
S12,NC262,7.5,24.5,18.5
S12,PHG35,16,19,18
S12,PHG39,7,17.5,10
S12,PHG47,29.5,41,19.5
S6,764,59.5,47,99.5
S6,A554,38,58.5,89.5
S6,B57,39,48.5,74.5
S6,HP301,65,46.5,97.5
S6,LH60,64,37.5,85.5
S6,NC262,28,36.5,60
S6,PHG35,39,45,106.5
S6,PHG39,49.5,43,93.5
S6,PHG47,107.5,93.5,127.5
S9,764,250.5,36.5,10
S9,A554,60,112,9
S9,B57,77,46.5,4.5
S9,HP301,133,30,10.5
S9,LH60,111.5,47.5,5.5
S9,NC262,89,55.5,8.5
S9,PHG35,156.5,31.5,10.5
S9,PHG39,85,44,10
S9,PHG47,200,34.5,17