SampleID,Group
S19-764-1,764
S19-764-2,764
S22-764-1,764
S22-764-2,764
S24-764-1,764
S24-764-2,764
S3-764-1,764
S3-764-2,764
S19-A554-1,A554
S19-A554-2,A554
S22-A554-1,A554
S22-A554-2,A554
S24-A554-1,A554
S24-A554-2,A554
S3-A554-1,A554
S3-A554-2,A554
S19-B57-1,B57
S19-B57-2,B57
S22-B57-1,B57
S22-B57-2,B57
S24-B57-1,B57
S24-B57-2,B57
S3-B57-1,B57
S3-B57-2,B57
S19-HP301-1,HP301
S19-HP301-2,HP301
S22-HP301-1,HP301
S22-HP301-2,HP301
S24-HP301-1,HP301
S24-HP301-2,HP301
S3-HP301-1,HP301
S3-HP301-2,HP301
S19-LH60-1,LH60
S19-LH60-2,LH60
S22-LH60-1,LH60
S22-LH60-2,LH60
S24-LH60-1,LH60
S24-LH60-2,LH60
S3-LH60-1,LH60
S3-LH60-2,LH60
S19-NC262-1,NC262
S19-NC262-2,NC262
S22-NC262-1,NC262
S22-NC262-2,NC262
S24-NC262-1,NC262
S24-NC262-2,NC262
S3-NC262-1,NC262
S3-NC262-2,NC262
S19-PHG35-1,PHG35
S19-PHG35-2,PHG35
S22-PHG35-1,PHG35
S22-PHG35-2,PHG35
S24-PHG35-1,PHG35
S24-PHG35-2,PHG35
S3-PHG35-1,PHG35
S3-PHG35-2,PHG35
S19-PHG39-1,PHG39
S19-PHG39-2,PHG39
S22-PHG39-1,PHG39
S22-PHG39-2,PHG39
S24-PHG39-1,PHG39
S24-PHG39-2,PHG39
S3-PHG39-1,PHG39
S3-PHG39-2,PHG39
S19-PHG47-1,PHG47
S19-PHG47-2,PHG47
S22-PHG47-1,PHG47
S22-PHG47-2,PHG47
S24-PHG47-1,PHG47
S24-PHG47-2,PHG47